----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
3.206250000000e-03	-8.057640112310e-04	3.999188348100e-02	-2.286482258656e-02	9.321009876182e-01	-2.092107727262e+00	
3.225000000000e-03	-8.104754384040e-04	3.999178827664e-02	-2.289960269030e-02	9.321003572092e-01	-2.092107746330e+00	
3.250000000000e-03	-8.167573237920e-04	3.999166047408e-02	-2.294597619687e-02	9.320995144653e-01	-2.092107771204e+00	
3.303125000000e-03	-8.301062631354e-04	3.999138561730e-02	-2.304452002952e-02	9.320977152913e-01	-2.092107821972e+00	
3.306250000000e-03	-8.308914919957e-04	3.999136931050e-02	-2.305031673107e-02	9.320976091042e-01	-2.092107824870e+00	
3.325000000000e-03	-8.356028584200e-04	3.999127114588e-02	-2.308509695312e-02	9.320969711570e-01	-2.092107842052e+00	
3.350000000000e-03	-8.418846622673e-04	3.999113939631e-02	-2.313147061639e-02	9.320961183622e-01	-2.092107864410e+00	
3.403125000000e-03	-8.552334262781e-04	3.999085615221e-02	-2.323001477803e-02	9.320942978300e-01	-2.092107909834e+00	
3.406250000000e-03	-8.560186447376e-04	3.999083935203e-02	-2.323581149876e-02	9.320941903865e-01	-2.092107912418e+00	
3.425000000000e-03	-8.607299485532e-04	3.999073822719e-02	-2.327059183552e-02	9.320935449012e-01	-2.092107927713e+00	
3.450000000000e-03	-8.670116683799e-04	3.999060253068e-02	-2.331696565067e-02	9.320926820554e-01	-2.092107947556e+00	
3.503125000000e-03	-8.803602517882e-04	3.999031089936e-02	-2.341551013106e-02	9.320908401651e-01	-2.092107987635e+00	
3.506250000000e-03	-8.811454595368e-04	3.999029360581e-02	-2.342130687038e-02	9.320907314653e-01	-2.092107989904e+00	
3.525000000000e-03	-8.858566988839e-04	3.999018952079e-02	-2.345608731823e-02	9.320900784418e-01	-2.092108003313e+00	
3.550000000000e-03	-8.921383322100e-04	3.999004987739e-02	-2.350246128044e-02	9.320892055452e-01	-2.092108020641e+00	
3.603125000000e-03	-9.054867297460e-04	3.998974985896e-02	-2.360100606935e-02	9.320873422968e-01	-2.092108055375e+00	
3.606250000000e-03	-9.062719264738e-04	3.998973207206e-02	-2.360680282664e-02	9.320872323406e-01	-2.092108057330e+00	
3.625000000000e-03	-9.109830994924e-04	3.998962502690e-02	-2.364158338197e-02	9.320865717790e-01	-2.092108068852e+00	
3.650000000000e-03	-9.172646438380e-04	3.998948143666e-02	-2.368795748644e-02	9.320856888315e-01	-2.092108083665e+00	
3.703125000000e-03	-9.306128502320e-04	3.998917303125e-02	-2.378650257363e-02	9.320838042252e-01	-2.092108113054e+00	
3.706250000000e-03	-9.313980356290e-04	3.998915475100e-02	-2.379229934830e-02	9.320836930127e-01	-2.092108114695e+00	
3.725000000000e-03	-9.361091404592e-04	3.998904474574e-02	-2.382708000749e-02	9.320830249129e-01	-2.092108124330e+00	
3.750000000000e-03	-9.423905933444e-04	3.998889720872e-02	-2.387345424939e-02	9.320821319147e-01	-2.092108136628e+00	
3.803125000000e-03	-9.557386033268e-04	3.998858041644e-02	-2.397199962463e-02	9.320802259505e-01	-2.092108160673e+00	
3.806250000000e-03	-9.565237770829e-04	3.998856164285e-02	-2.397779641607e-02	9.320801134816e-01	-2.092108161999e+00	
3.825000000000e-03	-9.612348118649e-04	3.998844867754e-02	-2.401257717551e-02	9.320794378438e-01	-2.092108169748e+00	
3.850000000000e-03	-9.675161708100e-04	3.998829719379e-02	-2.405895155003e-02	9.320785347947e-01	-2.092108179531e+00	
3.903125000000e-03	-9.808639791112e-04	3.998797201478e-02	-2.415749720308e-02	9.320766074727e-01	-2.092108198231e+00	
3.906250000000e-03	-9.816491409165e-04	3.998795274785e-02	-2.416329401069e-02	9.320764937475e-01	-2.092108199242e+00	
3.912500000000e-03	-9.832194633915e-04	3.998791416774e-02	-2.417488762741e-02	9.320762661792e-01	-2.092108201236e+00	
